id,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Flow ID,Src IP,Src Port,Dst IP
AL-0011,0,0,14/02/2018 10:12:23,112641224,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332333,56320612.0,11.313708499,56320620,56320604,112641224,56320612.0,11.313708499,56320620,56320604,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332333,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320612.0,11.313708499,56320620,56320604,,,,
AL-0012,0,0,14/02/2018 09:49:52,112641178,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332442,56320589.0,32.5269119346,56320612,56320566,112641178,56320589.0,32.5269119346,56320612,56320566,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332442,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320589.0,32.5269119346,56320612,56320566,,,,
AL-0013,43154,6,14/02/2018 02:15:06,3358,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,893.3889219774,1679.0,1752.2106037803,2918,440,0,0.0,0.0,0,0,2918,2918.0,0.0,2918,2918,0,0,0,0,32,76,297.7963073258,595.5926146516,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0014,35794,6,14/02/2018 02:11:34,42341,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,70.8533100305,21170.5,29441.8050482643,41989,352,0,0.0,0.0,0,0,41989,41989.0,0.0,41989,41989,0,0,0,0,32,76,23.6177700102,47.2355400203,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0015,0,0,14/02/2018 02:08:56,112641304,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332144,56320652.0,582.6559876977,56321064,56320240,112641304,56320652.0,582.6559876977,56321064,56320240,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332144,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320652.0,582.6559876977,56321064,56320240,,,,
AL-0016,80,6,14/02/2018 08:47:26,511506,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1333.3176932431,15.6400902433,73072.2857142857,124689.232076811,256153,9,511506,127876.5,147627.181737195,256171,9,256398,128199.0,180998.122780321,256184,214,0,0,0,0,168,104,9.7750564021,5.8650338412,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0017,80,6,14/02/2018 08:47:15,475048,5,3,220,472,220,0,44.0,98.38699101,472,0,157.3333333333,272.5093270575,1456.6949024099,16.8404034961,67864.0,115746.933154476,237494,15,475048,118762.0,137096.759626185,237853,15,237516,118758.0,167472.584269784,237179,337,0,0,0,0,168,104,10.525252185,6.315151311,0,472,76.8888888889,165.0669897681,27247.1111111111,0,0,0,1,0,0,0,0,0,86.5,44.0,157.3333333333,0,0,0,0,0,0,5,220,3,472,14600,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0018,0,0,14/02/2018 11:34:03,112640627,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266333745,56320313.5,4401.7397128863,56323426,56317201,112640627,56320313.5,4401.7397128863,56323426,56317201,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266333745,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320313.5,4401.7397128863,56323426,56317201,,,,
AL-0019,0,0,14/02/2018 11:39:41,112640560,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266333903,56320280.0,66.4680374315,56320327,56320233,112640560,56320280.0,66.4680374315,56320327,56320233,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266333903,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320280.0,66.4680374315,56320327,56320233,,,,
AL-0020,80,6,14/02/2018 08:47:22,478007,5,3,216,468,216,0,43.2,96.598136628,468,0,156.0,270.1999259807,1430.9413878876,16.7361565835,68286.7142857143,116521.363245421,238871,14,478007,119501.75,137965.090440481,239088,14,239086,119543.0,168784.974455667,238892,194,0,0,0,0,168,104,10.4600978647,6.2760587188,0,468,76.0,163.4380616625,26712.0,0,0,0,1,0,0,0,0,0,85.5,43.2,156.0,0,0,0,0,0,0,5,216,3,468,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0021,0,0,14/02/2018 08:59:10,112641311,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332127,56320655.5,88.3883476483,56320718,56320593,112641311,56320655.5,88.3883476483,56320718,56320593,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332127,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320655.5,88.3883476483,56320718,56320593,,,,
AL-0022,34962,6,14/02/2018 02:11:10,2924,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1025.9917920657,1462.0,1596.6471119192,2591,333,0,0.0,0.0,0,0,2591,2591.0,0.0,2591,2591,0,0,0,0,32,76,341.9972640219,683.9945280438,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0023,47248,6,14/02/2018 02:17:04,7113,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,421.7629692113,3556.5,4632.2565235531,6832,281,0,0.0,0.0,0,0,6832,6832.0,0.0,6832,6832,0,0,0,0,32,76,140.5876564038,281.1753128075,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0024,52764,6,14/02/2018 02:06:09,15256,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,196.6439433665,7628.0,10285.5752391395,14901,355,0,0.0,0.0,0,0,14901,14901.0,0.0,14901,14901,0,0,0,0,32,76,65.5479811222,131.0959622444,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0025,58856,6,14/02/2018 02:09:05,3714,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,807.7544426494,1857.0,2176.4746724922,3396,318,0,0.0,0.0,0,0,3396,3396.0,0.0,3396,3396,0,0,0,0,32,76,269.2514808831,538.5029617663,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0026,0,0,14/02/2018 12:55:43,112640484,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266334083,56320242.0,138.5929291126,56320340,56320144,112640484,56320242.0,138.5929291126,56320340,56320144,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266334083,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320242.0,138.5929291126,56320340,56320144,,,,
AL-0027,0,0,14/02/2018 11:28:25,112640738,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266333482,56320369.0,94.752308679,56320436,56320302,112640738,56320369.0,94.752308679,56320436,56320302,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266333482,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320369.0,94.752308679,56320436,56320302,,,,
AL-0028,0,0,14/02/2018 08:39:28,112640480,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266334092,56320240.0,203.6467529817,56320384,56320096,112640480,56320240.0,203.6467529817,56320384,56320096,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266334092,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320240.0,203.6467529817,56320384,56320096,,,,
AL-0029,67,17,14/02/2018 01:43:40,554,1,1,300,329,300,300,300.0,0.0,329,329,329.0,0.0,1135379.06137184,3610.1083032491,554.0,0.0,554,554,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1805.0541516246,1805.0541516246,300,329,309.6666666667,16.7431578065,280.3333333333,0,0,0,0,0,0,0,0,1,464.5,300.0,329.0,0,0,0,0,0,0,1,300,1,329,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0030,0,0,14/02/2018 01:29:31,112640729,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266333504,56320364.5,171.8269478283,56320486,56320243,112640729,56320364.5,171.8269478283,56320486,56320243,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266333504,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320364.5,171.8269478283,56320486,56320243,,,,
AL-0031,443,6,14/02/2018 12:16:22,458214,1041,2592,8591554,3542,47256,0,8253.1738712776,8530.0127381505,1432,0,1.3665123457,38.7264741063,18757820.5816496,7928.6097762181,126.1602422907,2336.0679832458,130227,0,458214,440.5903846154,4500.46099291,130227,1,288067,111.1798533385,786.4047554885,29742,0,0,0,0,0,20840,63868,2271.8642381071,5656.745538111,0,47256,2365.1887727023,5895.0827222667,34752000.3023676,0,0,0,1,0,0,0,0,2,2365.8398018167,8253.1738712776,1.3665123457,0,0,0,0,0,0,1041,8591554,2592,3542,26883,4420,1031,20,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0032,36576,6,14/02/2018 02:11:56,5642,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,531.726338178,2821.0,3545.4334008694,5328,314,0,0.0,0.0,0,0,5328,5328.0,0.0,5328,5328,0,0,0,0,32,76,177.242112726,354.484225452,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0033,0,0,14/02/2018 09:38:36,112641263,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332241,56320631.5,225.5670631985,56320791,56320472,112641263,56320631.5,225.5670631985,56320791,56320472,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332241,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320631.5,225.5670631985,56320791,56320472,,,,
AL-0034,80,6,14/02/2018 08:47:20,475967,5,3,215,467,215,0,43.0,96.1509230325,467,0,155.6666666667,269.6225757116,1432.8724470394,16.8078879418,67995.2857142857,115929.081086548,237703,16,475967,118991.75,137195.538016305,237904,21,237915,118957.5,167975.337191208,237734,181,0,0,0,0,168,104,10.5049299636,6.3029579782,0,467,75.7777777778,163.0312683029,26579.1944444444,0,0,0,1,0,0,0,0,0,85.25,43.0,155.6666666667,0,0,0,0,0,0,5,215,3,467,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0035,67,17,14/02/2018 11:30:51,599,1,1,300,329,300,300,300.0,0.0,329,329,329.0,0.0,1050083.47245409,3338.898163606,599.0,0.0,599,599,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,8,1669.449081803,1669.449081803,300,329,309.6666666667,16.7431578065,280.3333333333,0,0,0,0,0,0,0,0,1,464.5,300.0,329.0,0,0,0,0,0,0,1,300,1,329,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0036,0,0,14/02/2018 11:31:14,112640743,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633347,56320371.5,13.4350288425,56320381,56320362,112640743,56320371.5,13.4350288425,56320381,56320362,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633347,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320371.5,13.4350288425,56320381,56320362,,,,
AL-0037,0,0,14/02/2018 12:44:27,112640640,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266333714,56320320.0,72.124891681,56320371,56320269,112640640,56320320.0,72.124891681,56320371,56320269,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266333714,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320320.0,72.124891681,56320371,56320269,,,,
AL-0038,80,6,14/02/2018 09:42:23,5072860,4,4,191,606,191,0,47.75,95.5,606,0,151.5,303.0,157.1105845618,1.5770196694,724694.285714286,1858872.99547994,4939689,23,133171,44390.3333333333,35532.6771484127,65835,3375,5072837,1690945.66666667,2869102.59475194,5003684,1816,0,0,0,0,136,136,0.7885098347,0.7885098347,0,606,88.5555555556,204.0643961542,41642.2777777778,0,0,0,1,0,0,0,0,1,99.625,47.75,151.5,0,0,0,0,0,0,4,191,4,606,29200,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0039,0,0,14/02/2018 11:19:58,112641613,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266331413,56320806.5,10.6066017178,56320814,56320799,112641613,56320806.5,10.6066017178,56320814,56320799,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266331413,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320806.5,10.6066017178,56320814,56320799,,,,
AL-0040,0,0,14/02/2018 09:27:20,112641270,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266332224,56320635.0,89.0954544295,56320698,56320572,112641270,56320635.0,89.0954544295,56320698,56320572,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0266332224,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320635.0,89.0954544295,56320698,56320572,,,,
AL-0041,80,6,14/02/2018 08:47:18,477161,5,3,211,463,211,0,42.2,94.3620686505,463,0,154.3333333333,267.3131746348,1412.5211406632,16.7658295628,68165.8571428572,116324.530541969,238504,12,477161,119290.25,137729.560342905,238719,12,238618,119309.0,168449.805841384,238421,197,0,0,0,0,168,104,10.4786434767,6.287186086,0,463,74.8888888889,161.4058893322,26051.8611111111,0,0,0,1,0,0,0,0,0,84.25,42.2,154.3333333333,0,0,0,0,0,0,5,211,3,463,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0042,49238,6,14/02/2018 02:04:27,6102,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,491.6420845624,3051.0,3925.8568491477,5827,275,0,0.0,0.0,0,0,5827,5827.0,0.0,5827,5827,0,0,0,0,32,76,163.8806948541,327.7613897083,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0043,43150,6,14/02/2018 02:15:06,7027,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,426.9247189412,3513.5,4554.4747776226,6734,293,0,0.0,0.0,0,0,6734,6734.0,0.0,6734,6734,0,0,0,0,32,76,142.3082396471,284.6164792942,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0044,53668,6,14/02/2018 02:06:35,3522,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,851.7887563884,1761.0,1998.2837636332,3174,348,0,0.0,0.0,0,0,3174,3174.0,0.0,3174,3174,0,0,0,0,32,76,283.9295854628,567.8591709256,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,230,241,0,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0045,80,6,14/02/2018 08:47:27,477025,5,3,214,466,214,0,42.8,95.703709437,466,0,155.3333333333,269.0452254424,1425.5018080813,16.7706095068,68146.4285714286,116289.973309334,238387,15,477025,119256.25,137667.743785233,238558,15,238627,119313.5,168494.353568599,238457,170,0,0,0,0,168,104,10.4816309418,6.2889785651,0,466,75.5555555556,162.6246530443,26446.7777777778,0,0,0,1,0,0,0,0,0,85.0,42.8,155.3333333333,0,0,0,0,0,0,5,214,3,466,14480,219,1,32,0.0,0.0,0,0,0.0,0.0,0,0,,,,
AL-0046,0,0,14/02/2018 12:13:29,112640667,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633365,56320333.5,98.2878425849,56320403,56320264,112640667,56320333.5,98.2878425849,56320403,56320264,0,0.0,0.0,0,0,0,0,0,0,0,0,0.026633365,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320333.5,98.2878425849,56320403,56320264,,,,
