id,timestamp,sourceIp,destinationIp,destinationPort,protocol,flowDuration,totalFwdPackets,totalBwdPackets,flowBytesPerSecond,flowPacketsPerSecond,packetLengthMean,fwdPacketLengthMean,synFlagCount,ackFlagCount,finFlagCount,rstFlagCount
AL-0027,14/02/2018 11:28:25,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0028,14/02/2018 08:39:28,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0029,14/02/2018 01:43:40,unknown-source,unknown-destination,67,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0030,14/02/2018 01:29:31,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0031,14/02/2018 12:16:22,unknown-source,unknown-destination,443,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0032,14/02/2018 02:11:56,unknown-source,unknown-destination,36576,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0033,14/02/2018 09:38:36,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0034,14/02/2018 08:47:20,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0035,14/02/2018 11:30:51,unknown-source,unknown-destination,67,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0036,14/02/2018 11:31:14,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0037,14/02/2018 12:44:27,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0038,14/02/2018 09:42:23,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0039,14/02/2018 11:19:58,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0040,14/02/2018 09:27:20,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0041,14/02/2018 08:47:18,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0042,14/02/2018 02:04:27,unknown-source,unknown-destination,49238,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0043,14/02/2018 02:15:06,unknown-source,unknown-destination,43150,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0044,14/02/2018 02:06:35,unknown-source,unknown-destination,53668,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0045,14/02/2018 08:47:27,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0046,14/02/2018 12:13:29,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0047,14/02/2018 02:15:58,unknown-source,unknown-destination,44984,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0048,14/02/2018 02:15:55,unknown-source,unknown-destination,44878,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0049,14/02/2018 08:47:18,unknown-source,unknown-destination,80,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0050,14/02/2018 08:47:15,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0051,14/02/2018 11:50:57,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0052,14/02/2018 02:17:03,unknown-source,unknown-destination,47224,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0053,14/02/2018 10:38:23,unknown-source,unknown-destination,67,UDP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0054,14/02/2018 09:55:30,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0055,14/02/2018 08:47:23,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0056,14/02/2018 01:37:58,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0057,14/02/2018 02:05:56,unknown-source,unknown-destination,52322,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0058,14/02/2018 11:14:21,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0059,14/02/2018 08:47:19,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0060,14/02/2018 11:53:46,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0061,14/02/2018 12:30:22,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0062,14/02/2018 10:01:08,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0063,14/02/2018 02:15:51,unknown-source,unknown-destination,44746,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0064,14/02/2018 12:38:49,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0065,14/02/2018 01:49:13,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0066,14/02/2018 09:38:53,unknown-source,unknown-destination,22,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0067,14/02/2018 11:25:36,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0068,14/02/2018 10:06:46,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0069,14/02/2018 09:18:53,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0070,14/02/2018 02:12:32,unknown-source,unknown-destination,37812,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0071,14/02/2018 02:02:37,unknown-source,unknown-destination,45440,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0072,14/02/2018 08:47:30,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0073,14/02/2018 12:33:11,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0074,14/02/2018 10:32:24,unknown-source,unknown-destination,22,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0075,14/02/2018 02:15:06,unknown-source,unknown-destination,43174,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0076,14/02/2018 10:18:01,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0077,14/02/2018 01:17:12,unknown-source,unknown-destination,67,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0078,14/02/2018 10:54:57,unknown-source,unknown-destination,9984,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0079,14/02/2018 11:22:47,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0080,14/02/2018 10:03:57,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0081,14/02/2018 01:21:04,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0082,14/02/2018 10:54:38,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0083,14/02/2018 02:11:45,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0084,14/02/2018 12:24:45,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0085,14/02/2018 10:43:22,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0086,14/02/2018 02:05:46,unknown-source,unknown-destination,51938,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0087,14/02/2018 10:34:55,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0088,14/02/2018 02:16:11,unknown-source,unknown-destination,45440,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0089,14/02/2018 09:41:25,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0090,14/02/2018 08:36:39,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0091,14/02/2018 09:58:19,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0092,14/02/2018 01:46:24,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0093,14/02/2018 02:13:46,unknown-source,unknown-destination,40388,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0094,14/02/2018 12:30:03,unknown-source,unknown-destination,9984,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0095,14/02/2018 12:21:56,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0096,14/02/2018 01:01:21,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0097,14/02/2018 02:15:06,unknown-source,unknown-destination,43172,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0098,14/02/2018 09:52:41,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0099,14/02/2018 02:18:00,unknown-source,unknown-destination,49238,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0100,14/02/2018 08:47:25,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0101,14/02/2018 02:07:34,unknown-source,unknown-destination,55718,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0102,14/02/2018 01:54:51,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0103,14/02/2018 12:16:21,unknown-source,unknown-destination,443,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0104,14/02/2018 01:35:09,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0105,14/02/2018 08:40:31,unknown-source,unknown-destination,22,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0106,14/02/2018 09:21:42,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0107,14/02/2018 01:57:40,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0108,14/02/2018 01:15:26,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0109,14/02/2018 12:10:40,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0110,14/02/2018 09:35:47,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0111,14/02/2018 02:16:33,unknown-source,unknown-destination,22,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0112,14/02/2018 10:20:50,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0113,14/02/2018 02:14:28,unknown-source,unknown-destination,41838,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0114,14/02/2018 01:09:48,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0115,14/02/2018 08:47:26,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0116,14/02/2018 08:47:16,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0117,14/02/2018 08:47:28,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0118,14/02/2018 08:47:25,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0119,14/02/2018 08:47:55,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0120,14/02/2018 12:27:34,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0121,14/02/2018 11:11:32,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0122,14/02/2018 12:16:22,unknown-source,unknown-destination,443,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0123,14/02/2018 08:47:21,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0124,14/02/2018 12:16:18,unknown-source,unknown-destination,9984,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0125,14/02/2018 10:11:24,unknown-source,unknown-destination,67,UDP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0126,14/02/2018 01:52:02,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0127,14/02/2018 02:07:45,unknown-source,unknown-destination,56098,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0128,14/02/2018 11:30:03,unknown-source,unknown-destination,9984,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0129,14/02/2018 09:10:26,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0130,14/02/2018 10:40:33,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0131,14/02/2018 12:59:37,unknown-source,unknown-destination,22,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0132,14/02/2018 02:03:18,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0133,14/02/2018 08:45:06,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0134,14/02/2018 02:13:11,unknown-source,unknown-destination,39152,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0135,14/02/2018 01:18:15,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0136,14/02/2018 08:47:23,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0137,14/02/2018 02:14:34,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0138,14/02/2018 12:50:09,unknown-source,unknown-destination,9984,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0139,14/02/2018 08:31:01,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0140,14/02/2018 02:13:29,unknown-source,unknown-destination,39800,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0141,14/02/2018 10:30:03,unknown-source,unknown-destination,9984,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0142,14/02/2018 02:05:56,unknown-source,unknown-destination,52320,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0143,14/02/2018 02:00:29,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0144,14/02/2018 10:49:00,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0145,14/02/2018 08:47:29,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0146,14/02/2018 09:30:09,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0147,14/02/2018 01:43:35,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0148,14/02/2018 12:23:38,unknown-source,unknown-destination,67,UDP,920000,4,3,280,3,77,62,0,2,0,0
AL-0149,14/02/2018 08:47:16,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0150,14/02/2018 02:17:58,unknown-source,unknown-destination,49148,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0151,14/02/2018 02:11:35,unknown-source,unknown-destination,35812,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0152,14/02/2018 08:47:24,unknown-source,unknown-destination,80,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0153,14/02/2018 12:51:06,unknown-source,unknown-destination,67,UDP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0154,14/02/2018 08:40:23,unknown-source,unknown-destination,22,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0155,14/02/2018 11:45:19,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0156,14/02/2018 08:47:27,unknown-source,unknown-destination,80,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0157,14/02/2018 02:15:07,unknown-source,unknown-destination,43184,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0158,14/02/2018 02:05:46,unknown-source,unknown-destination,51972,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0159,14/02/2018 12:14:10,unknown-source,unknown-destination,9984,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0160,14/02/2018 09:30:03,unknown-source,unknown-destination,9984,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0161,14/02/2018 12:16:22,unknown-source,unknown-destination,443,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0162,14/02/2018 11:56:35,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0163,14/02/2018 02:16:00,unknown-source,unknown-destination,45058,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0164,14/02/2018 02:06:07,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0165,14/02/2018 09:44:14,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0166,14/02/2018 02:10:39,unknown-source,unknown-destination,33892,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0167,14/02/2018 09:36:16,unknown-source,unknown-destination,22,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0168,14/02/2018 08:53:33,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0169,14/02/2018 01:32:20,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0170,14/02/2018 12:50:05,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0171,14/02/2018 08:47:31,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0172,14/02/2018 11:48:08,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0173,14/02/2018 12:36:00,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0174,14/02/2018 08:47:22,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0175,14/02/2018 02:08:25,unknown-source,unknown-destination,57454,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0176,14/02/2018 02:07:10,unknown-source,unknown-destination,54898,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0177,14/02/2018 10:09:34,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0178,14/02/2018 08:47:30,unknown-source,unknown-destination,80,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0179,14/02/2018 02:13:11,unknown-source,unknown-destination,39154,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0180,14/02/2018 09:01:59,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0181,14/02/2018 10:37:44,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0182,14/02/2018 02:09:04,unknown-source,unknown-destination,58816,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0183,14/02/2018 12:52:54,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0184,14/02/2018 08:50:44,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0185,14/02/2018 12:19:07,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0186,14/02/2018 02:04:24,unknown-source,unknown-destination,49148,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0187,14/02/2018 08:40:13,unknown-source,unknown-destination,22,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0188,14/02/2018 11:03:05,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0189,14/02/2018 09:16:04,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0190,14/02/2018 11:53:08,unknown-source,unknown-destination,9984,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0191,14/02/2018 02:16:03,unknown-source,unknown-destination,45158,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0192,14/02/2018 02:10:55,unknown-source,unknown-destination,34438,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0193,14/02/2018 02:16:34,unknown-source,unknown-destination,22,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0194,14/02/2018 09:04:48,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0195,14/02/2018 01:06:59,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
AL-0196,14/02/2018 09:48:45,unknown-source,unknown-destination,67,UDP,800000,3,2,250,2,75,60,0,1,0,0
AL-0197,14/02/2018 08:47:28,unknown-source,unknown-destination,80,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0198,14/02/2018 02:13:01,unknown-source,unknown-destination,38796,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0199,14/02/2018 08:42:17,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0200,14/02/2018 01:26:42,unknown-source,unknown-destination,0,HOPOPT,1280000,4,2,370,2,83,68,0,1,0,0
AL-0201,14/02/2018 02:06:05,unknown-source,unknown-destination,52624,TCP,1400000,5,3,400,3,85,70,0,2,0,0
AL-0202,14/02/2018 02:13:12,unknown-source,unknown-destination,39194,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0203,14/02/2018 11:17:10,unknown-source,unknown-destination,0,HOPOPT,800000,3,2,250,2,75,60,0,1,0,0
AL-0204,14/02/2018 10:32:06,unknown-source,unknown-destination,0,HOPOPT,920000,4,3,280,3,77,62,0,2,0,0
AL-0205,14/02/2018 10:15:12,unknown-source,unknown-destination,0,HOPOPT,1040000,5,2,310,4,79,64,0,1,0,0
AL-0206,14/02/2018 02:02:21,unknown-source,unknown-destination,44878,TCP,1160000,3,3,340,5,81,66,0,2,0,0
AL-0207,14/02/2018 02:16:03,unknown-source,unknown-destination,45178,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0208,14/02/2018 10:29:17,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0209,14/02/2018 08:47:14,unknown-source,unknown-destination,80,TCP,1520000,3,2,430,4,87,72,0,1,0,0
AL-0210,14/02/2018 08:47:17,unknown-source,unknown-destination,80,TCP,800000,3,2,250,2,75,60,0,1,0,0
AL-0211,14/02/2018 08:30:38,unknown-source,unknown-destination,9984,TCP,920000,4,3,280,3,77,62,0,2,0,0
AL-0212,14/02/2018 02:15:03,unknown-source,unknown-destination,43044,TCP,1040000,5,2,310,4,79,64,0,1,0,0
AL-0213,14/02/2018 12:05:02,unknown-source,unknown-destination,0,HOPOPT,1160000,3,3,340,5,81,66,0,2,0,0
AL-0214,14/02/2018 08:47:19,unknown-source,unknown-destination,80,TCP,1280000,4,2,370,2,83,68,0,1,0,0
AL-0215,14/02/2018 01:04:10,unknown-source,unknown-destination,0,HOPOPT,1400000,5,3,400,3,85,70,0,2,0,0
AL-0216,14/02/2018 09:47:03,unknown-source,unknown-destination,0,HOPOPT,1520000,3,2,430,4,87,72,0,1,0,0
